Tag;Stunde;AVG_LWET200;AVG_RH200;AVG_TA020;AVG_TA200;AVG_WV200;MAX_GS200max;MAX_NN050max;MAX_TA020max;MAX_TA200max;MAX_WV200max;MIN_TA020min;MIN_TA200min;SUM_GS200;SUM_NN050
01.01.2018;00:00;19,30;78,90;9,30;9,30;3,10;,00;,00;9,50;9,60;8,00;9,20;9,20;,00;,00
01.01.2018;01:00;17,80;77,00;9,20;9,20;2,80;,00;,00;9,30;9,30;8,10;9,10;9,10;,00;,00
01.01.2018;02:00;15,50;72,80;8,70;8,80;3,10;,00;,00;9,10;9,10;7,40;8,50;8,60;,00;,00
01.01.2018;03:00;14,30;71,30;8,20;8,30;3,90;,00;,00;8,60;8,60;9,80;7,80;8,00;,00;,00
01.01.2018;04:00;14,10;72,00;8,10;8,10;3,90;,00;,00;8,30;8,20;9,60;7,80;8,00;,00;,00
01.01.2018;05:00;15,80;72,80;7,40;7,30;4,60;,00;,00;8,40;8,30;11,30;6,90;6,90;,00;,00
01.01.2018;06:00;24,80;79,50;6,10;5,80;4,30;,00;,10;7,30;7,10;11,90;4,70;4,40;,00;,10
01.01.2018;07:00;29,70;84,30;4,90;4,70;2,80;,00;,00;5,80;5,70;7,70;4,40;4,20;,00;,00
01.01.2018;08:00;39,40;83,70;5,40;5,30;2,40;,00;,10;6,00;5,80;6,80;4,80;4,90;,00;,20
01.01.2018;09:00;20,50;79,90;6,10;6,10;3,10;52,50;,00;6,50;6,40;8,80;5,60;5,50;35,40;,00
01.01.2018;10:00;14,60;76,30;7,30;7,20;2,90;145,40;,00;8,20;8,10;8,10;6,60;6,50;87,30;,00
01.01.2018;11:00;13,10;74,70;7,50;7,40;4,90;189,40;,00;8,40;8,20;11,30;7,20;7,10;113,10;,00
01.01.2018;12:00;16,80;72,20;7,80;7,60;3,80;288,60;,00;8,10;7,90;9,70;7,40;6,90;101,40;,00
01.01.2018;13:00;12,80;73,20;7,70;7,50;2,40;201,50;,00;8,00;7,80;6,80;7,30;7,00;80,30;,00
01.01.2018;14:00;11,90;71,20;7,50;7,40;1,80;57,80;,00;7,90;7,80;5,60;7,10;7,10;41,60;,00
01.01.2018;15:00;45,60;74,70;7,00;6,90;2,50;39,20;,00;7,10;7,10;6,10;7,00;6,80;20,30;,00
01.01.2018;16:00;64,30;76,10;6,60;6,40;3,10;,00;,10;7,10;7,10;8,00;5,80;5,30;,00;,30
01.01.2018;17:00;100,00;83,70;5,50;5,20;2,10;,00;,10;5,70;5,50;7,20;5,20;5,00;,00;,30
01.01.2018;18:00;100,00;80,80;5,60;5,40;2,70;,00;,10;5,70;5,70;7,30;5,50;5,10;,00;,40
01.01.2018;19:00;99,30;83,60;5,60;5,40;2,90;,00;,10;5,60;5,50;7,40;5,60;5,20;,00;,10
01.01.2018;20:00;66,90;86,00;6,00;5,80;2,70;,00;,00;6,30;6,30;8,00;5,60;5,40;,00;,00
01.01.2018;21:00;64,30;86,10;6,40;6,10;3,40;,00;,00;6,50;6,40;8,30;6,30;5,90;,00;,00
01.01.2018;22:00;36,50;85,80;6,30;6,30;3,00;,00;,00;6,50;6,50;9,30;6,10;5,80;,00;,00
01.01.2018;23:00;31,20;85,50;6,00;6,00;3,40;,00;,00;6,20;6,10;8,10;5,70;5,90;,00;,00
02.01.2018;00:00;25,10;81,50;5,90;6,10;3,20;,00;,00;6,20;6,30;9,20;5,60;5,80;,00;,00
02.01.2018;01:00;21,40;78,80;6,00;6,10;3,80;,00;,00;6,10;6,20;8,70;5,90;6,00;,00;,00
02.01.2018;02:00;20,00;77,60;5,40;5,60;3,40;,00;,00;5,80;5,90;8,10;5,00;5,20;,00;,00
02.01.2018;03:00;22,30;80,60;4,70;4,90;2,40;,00;,00;5,20;5,20;6,20;4,20;4,40;,00;,00
